순서,구분,콘텐츠 아이디(CID),제목,카테고리,주소,전화번호,홈페이지,정보제공,등록일,수정일,상세 URL,중분류
39,관광정보,DrxYEA,정읍 구절초 지방정원,문화관광 > 테마공원 > 테마파크,전라북도 정읍시 산내면 매죽리 571번지,063-539-5697,http://www.jeongeup.go.kr/,한국문화관광연구원,2012.05.09,2023.08.17,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=DrxYEA&defaultCid=DrxYEA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
40,관광정보,EGwl3A,계족산 황톳길,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,대전광역시 대덕구 장동 산85,"042-623-9909, 042-608-5163",http://www.daedeok.go.kr,맥키스컴퍼니 대외협력실,2012.09.18,2023.08.02,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=EGwl3A&defaultCid=EGwl3A&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
41,관광정보,EbqTBA,송월동 동화마을,문화관광 > 도시.지역문화관광 > 마을관광지,인천광역시 중구 동화마을길 38,송월동 동화마을 032-764-7494,인천 중구 문화관광 http://www.icjg.go.kr/tour,[글] 송월동 동화마을,2014.07.30,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=EbqTBA&defaultCid=EbqTBA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
42,관광정보,FR3BxA,서울대공원,문화관광 > 테마공원 > 테마파크,경기도 과천시 대공원광장로 102,02-500-7335(﻿﻿고객도움터﻿﻿)﻿﻿﻿,http://grandpark.seoul.go.kr,서울대공원 홍보팀,2003.10.07,2023.03.21,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=FR3BxA&defaultCid=FR3BxA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
43,관광정보,GByaxA,대관령 관광특구,문화관광 > 복합관광시설 > 관광단지,강원특별자치도,"033-330-2799, 033-249-3151",http://www.gn.go.kr/tour/index.do http://www.dh.go.kr/tour/ http://www.samcheok.go.kr/tour.web http://tour.pc.go.kr https://www.hsg.go.kr/tour,[글] 트래블플러스,2014.10.18,2023.08.18,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=GByaxA&defaultCid=GByaxA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
44,관광정보,GeLI1A,[제주올레 15코스] 한림-고내 올레 (A),레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 한림읍 한림해안로 196,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.23,2023.06.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=GeLI1A&defaultCid=GeLI1A&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
45,관광정보,GeLIAA,[제주올레 17코스] 광령-제주원도심 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 애월읍 광령리 1271-5,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.23,2023.04.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=GeLIAA&defaultCid=GeLIAA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
46,관광정보,GeLIyA,[제주올레 16코스] 고내-광령 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 애월읍 고내리 1111-2,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.23,2023.03.06,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=GeLIyA&defaultCid=GeLIyA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
47,관광정보,Gl1WvA,한국종합무역센터(코엑스),문화관광 > 전시시설 > 컨벤션센터,서울특별시 강남구 영동대로 513,02-6000-0114,http://www.coex.co.kr,한국종합무역센터 홍보팀,2002.04.19,2023.08.23,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=Gl1WvA&defaultCid=Gl1WvA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
48,관광정보,HSeqZA,화담숲,자연관광 > 자연공원 > 수목원ㆍ정원,경기도 광주시 도척면 도척윗로 278-1,031-8026-6666,http://www.hwadamsup.com,셈마케팅 한예은,2016.10.27,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=HSeqZA&defaultCid=HSeqZA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
49,관광정보,HdcMCA,전북 전주 한옥마을 [슬로시티],역사관광 > 역사유적지 > 민속마을,전라북도 전주시 완산구 기린대로 99,관광안내소 063-282-1330,http://hanok.jeonju.go.kr,전주한옥마을,2002.12.19,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=HdcMCA&defaultCid=HdcMCA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
50,관광정보,Hg5woA,경희궁,역사관광 > 역사유적지 > 고궁,서울특별시 종로구 새문안로 45,02-724-0274~6,문화재청 http://www.heritage.go.kr 서울역사박물관 https://museum.seoul.go.kr,서울역사박물관,2003.10.27,2023.08.28,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=Hg5woA&defaultCid=Hg5woA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
51,관광정보,Hx9d1A,[제주올레 15코스] 한림-고내 올레 (B),레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 한림읍 한림해안로 196,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2021.03.18,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=Hx9d1A&defaultCid=Hx9d1A&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
52,관광정보,HyJlcA,대구 서문시장 & 서문시장 야시장,쇼핑 > 시장 > 상설시장,대구광역시 중구 큰장로26길 45,053-256-6341,http://www.nightseomun.com,서문시장 상가연합회,2003.11.17,2023.03.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=HyJlcA&defaultCid=HyJlcA&categoryName=%EC%87%BC%ED%95%91,쇼핑
53,관광정보,Hza6zA,서울시립미술관(서소문본관),문화관광 > 전시시설 > 미술관/화랑,서울특별시 중구 덕수궁길 61,02-2124-8800,http://sema.seoul.go.kr,서울시립미술관,2007.11.06,2023.07.26,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=Hza6zA&defaultCid=Hza6zA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
54,관광정보,IDWjCA,해운대해수욕장,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,부산광역시 해운대구 해운대해변로 264,051-749-5700,http://sunnfun.haeundae.go.kr,해운대구청,2003.12.08,2023.04.22,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=IDWjCA&defaultCid=IDWjCA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
55,관광정보,IDWjlA,다대포해수욕장,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,부산광역시 사하구 몰운대1길 14,051-220-5895,https://www.visitbusan.net/kr/index.do https://www.saha.go.kr/tour,부산 사하구청 문화관광과 박기립님,2003.12.15,2023.03.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=IDWjlA&defaultCid=IDWjlA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
56,관광정보,IDWjuA,송정해수욕장,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,부산광역시 해운대구 송정해변로 62,051-749-5800,http://www.haeundae.go.kr/tour,해운대구청,2003.07.23,2023.06.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=IDWjuA&defaultCid=IDWjuA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
57,관광정보,KA9IbA,순천만 국가정원,자연관광 > 자연공원 > 수목원ㆍ정원,전라남도 순천시 국가정원1호길 47,061-749-8000,https://scbay.suncheon.go.kr/garden/#firstSection,순천시 관광진흥과 축제계 김종열 님,2014.05.16,2023.07.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=KA9IbA&defaultCid=KA9IbA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
58,관광정보,KSamXA,카멜리아힐,자연관광 > 자연공원 > 수목원ㆍ정원,제주특별자치도 서귀포시 안덕면 병악로 166,064-800-6296,http://www.camelliahill.co.kr,[사진] 서귀포시 관광진흥과 오동규 님,2009.05.26,2023.09.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=KSamXA&defaultCid=KSamXA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
59,관광정보,KStXCA,제천 의림지와 제림,자연관광 > 자연경관(하천‧해양) > 호수,충청북도 제천시 의림지로 33,의림지 관광안내소 043-651-7101,https://www.jecheon.go.kr/,충청북도청 문화체육관광국 관광항공과,2007.09.11,2023.03.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=KStXCA&defaultCid=KStXCA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
60,관광정보,KStXrA,팔공산자연공원(갓바위지구),자연관광 > 자연공원 > 자연휴양림,대구광역시 동구 팔공산로199길 6-1,053-982-0005,https://tour.daegu.go.kr/index.do,팔공산자연공원관리사무소 이강식 님,2003.06.23,2023.03.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=KStXrA&defaultCid=KStXrA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
